Recipe ID 1,Recipe ID 2,No_of_shared_compounds
R0000088,R0000092,226
R0000088,R0000093,219
R0000088,R0000094,241
R0000088,R0000095,231
R0000088,R0000096,278
R0000088,R0000097,197
R0000088,R0000098,108
R0000088,R0000099,171
R0000088,R00000100,161
R0000089,R0000090,377
R0000089,R0000091,176
R0000089,R0000092,215
R0000089,R0000093,235
R0000089,R0000094,260
R0000089,R0000095,251
R0000089,R0000096,268
R0000089,R0000097,229
R0000089,R0000098,112
R0000089,R0000099,156
R0000089,R00000100,163
R0000090,R0000091,178
R0000090,R0000092,228
R0000090,R0000093,271
R0000090,R0000094,297
R0000090,R0000095,290
R0000090,R0000096,334
R0000090,R0000097,253
R0000090,R0000098,130
R0000090,R0000099,180
R0000090,R00000100,164
R0000091,R0000092,119
R0000091,R0000093,131
R0000091,R0000094,148
R0000091,R0000095,186
R0000091,R0000096,182
R0000091,R0000097,105
R0000091,R0000098,79
R0000091,R0000099,109
R0000091,R00000100,88
R0000092,R0000093,207
R0000092,R0000094,216
R0000092,R0000095,192
R0000092,R0000096,223
R0000092,R0000097,188
R0000092,R0000098,103
R0000092,R0000099,141
R0000092,R00000100,159
R0000093,R0000094,291
R0000093,R0000095,218
R0000093,R0000096,246
R0000093,R0000097,212
R0000093,R0000098,129
R0000093,R0000099,156
R0000093,R00000100,158
R0000094,R0000095,242
R0000094,R0000096,260
R0000094,R0000097,234
R0000094,R0000098,131
R0000094,R0000099,169
R0000094,R00000100,166
R0000095,R0000096,247
R0000095,R0000097,188
R0000095,R0000098,144
R0000095,R0000099,160
R0000095,R00000100,124
R0000096,R0000097,206
R0000096,R0000098,118
R0000096,R0000099,179
R0000096,R00000100,161
R0000097,R0000098,96
R0000097,R0000099,145
R0000097,R00000100,159
R0000098,R0000099,98
R0000098,R00000100,68
R0000099,R00000100,122
